inPortNo,portTimeTotal,portTimeTotalCargo,portTimeTotalTanker,period
51860,2061,0,901,201911
51860,2501,679,1263,202000
51865,1099610,960521,0,201907
52523,1549540,154801,181679,202000
52560,76019,0,0,201907
52560,13860,0,13860,201908
52560,0,0,0,201911
51870,27317750,9033649,8488110,201909
51870,36120120,14369122,10734105,201910
51870,33270860,13588338,11022624,201911
52680,869027,864807,0,201908
52680,587186,0,575005,201909
52680,244111,0,244111,201910
51920,3706882,2818717,568076,202000
51941,13665576,5111397,6836739,201907
51941,12951972,4027997,6257172,201908
52870,2969507,283493,0,201910
52870,3598899,0,946441,201911
52870,3080387,41941,74904,202000
52940,515771,372083,0,201907
52220,1230266,393160,701742,201908
52220,840367,138043,327607,201909
52220,885652,517196,92538,201910
53010,4769876,4324386,159578,201907
53010,4049982,2968403,197354,201908
53010,3170148,2032768,79694,201909
52230,4752176,4707532,44644,201909
52230,9104036,9102513,1523,201910
52230,4635439,4300437,133855,201911
52297,269346,0,269346,201907
52297,682993,0,456681,201908
52297,371853,0,353804,201909
52297,667650,85386,169327,201910
53115,15316465,11624391,646855,201911
53115,18790356,13529005,868601,202000
53130,3963260,1058655,0,201907
52297,527126,109,473372,201911
52297,544429,0,407512,202000
52320,35971426,21416953,8936580,201907
52480,85134,85134,0,201911
52480,19233,19233,0,202000
52510,2021924,477056,438330,201907
53130,4813964,1175070,0,201908
53130,5765286,1592565,0,201909
53130,5163483,1638068,0,201910
53130,4868319,1028556,351174,201911
52523,1525750,0,79223,201909
52523,1169522,0,78895,201910
52523,742447,86622,61862,201911
52695,3432578,0,839654,202000
52720,12448154,3637369,6021684,201907
52720,14228048,3567343,7049372,201908
52720,15293164,3440688,6530582,201909
52760,26055,0,0,201907
52760,788966,788966,0,201910
52760,281318,202405,0,201911
52760,934117,107374,14508,202000
53020,13798398,3264865,2730301,201911
53020,12377680,2013194,1827430,202000
53050,4209214,0,0,201907
53050,4776493,0,5777,201908
53050,665025,17837,140376,202000
53100,504671,235400,0,201907
53100,222568,217259,0,201908
53100,171425,146786,5304,201909
noPort,1587766343,750297307,313543343,201910
noPort,1723134184,839994756,308520577,201911
noPort,1736870332,826617816,317810065,202000
